Item,date_time,period_day,weekday_weekend
Medialuna,31-10-2016 10:12,morning,weekday
Muffin,31-10-2016 10:12,morning,weekday
Coffee,31-10-2016 10:12,morning,weekday
Coffee,31-10-2016 10:21,morning,weekday
Tea,31-10-2016 10:21,morning,weekday
Cake,31-10-2016 10:21,morning,weekday
Coffee,31-10-2016 10:24,morning,weekday
Coffee,31-10-2016 10:24,morning,weekday
Pastry,31-10-2016 10:24,morning,weekday
Pastry,31-10-2016 10:24,morning,weekday
Coffee,31-10-2016 10:27,morning,weekday
Tea,31-10-2016 10:27,morning,weekday
Farm House,31-10-2016 10:31,morning,weekday
Muffin,31-10-2016 10:31,morning,weekday
Bread,31-10-2016 10:35,morning,weekday
Muffin,31-10-2016 10:35,morning,weekday
Pastry,31-10-2016 10:35,morning,weekday
Pastry,31-10-2016 10:36,morning,weekday
Coffee,31-10-2016 10:38,morning,weekday
Coffee,31-10-2016 10:59,morning,weekday
Coffee,31-10-2016 11:02,morning,weekday
Cake,31-10-2016 11:02,morning,weekday
Farm House,31-10-2016 11:05,morning,weekday
Bread,31-10-2016 11:08,morning,weekday
Coffee,31-10-2016 11:11,morning,weekday
Cookies,31-10-2016 11:13,morning,weekday
Cake,31-10-2016 11:13,morning,weekday
Coffee,31-10-2016 11:13,morning,weekday
My-5 Fruit Shoot,31-10-2016 11:13,morning,weekday
Cookies,31-10-2016 11:18,morning,weekday
Cookies,31-10-2016 11:18,morning,weekday
Tea,31-10-2016 11:18,morning,weekday
Pastry,31-10-2016 11:18,morning,weekday
Coffee,31-10-2016 11:25,morning,weekday
Coffee,31-10-2016 11:25,morning,weekday
Muffin,31-10-2016 11:25,morning,weekday
Farm House,31-10-2016 11:29,morning,weekday
Coffee,31-10-2016 11:30,morning,weekday
Bread,31-10-2016 11:30,morning,weekday
Cookies,31-10-2016 11:37,morning,weekday
Jam,31-10-2016 11:42,morning,weekday
Coffee,31-10-2016 11:42,morning,weekday
Coffee,31-10-2016 11:42,morning,weekday
Juice,31-10-2016 11:42,morning,weekday
Coffee,31-10-2016 11:43,morning,weekday
Soup,31-10-2016 11:43,morning,weekday
Tea,31-10-2016 11:47,morning,weekday
Coffee,31-10-2016 11:52,morning,weekday
Jam,31-10-2016 11:52,morning,weekday
Farm House,31-10-2016 11:53,morning,weekday
Tartine,31-10-2016 11:55,morning,weekday
Coffee,31-10-2016 11:55,morning,weekday
Tea,31-10-2016 11:55,morning,weekday
Coffee,31-10-2016 11:59,morning,weekday
Coffee,31-10-2016 11:59,morning,weekday
Cake,31-10-2016 11:59,morning,weekday
Coffee,31-10-2016 12:03,afternoon,weekday
Coffee,31-10-2016 12:03,afternoon,weekday
Muffin,31-10-2016 12:03,afternoon,weekday
Bread,31-10-2016 12:08,afternoon,weekday
Coffee,31-10-2016 12:08,afternoon,weekday
Tea,31-10-2016 12:14,afternoon,weekday
Juice,31-10-2016 12:14,afternoon,weekday
Pick and Mix Bowls,31-10-2016 12:14,afternoon,weekday
Cookies,31-10-2016 12:14,afternoon,weekday
Hearty & Seasonal,31-10-2016 12:16,afternoon,weekday
Soup,31-10-2016 12:16,afternoon,weekday
Hearty & Seasonal,31-10-2016 12:19,afternoon,weekday
Tea,31-10-2016 12:19,afternoon,weekday
Farm House,31-10-2016 12:19,afternoon,weekday
Bread,31-10-2016 12:20,afternoon,weekday
Tea,31-10-2016 12:27,afternoon,weekday
Soup,31-10-2016 12:27,afternoon,weekday
Farm House,31-10-2016 12:37,afternoon,weekday
Soup,31-10-2016 12:43,afternoon,weekday
Hearty & Seasonal,31-10-2016 12:43,afternoon,weekday
Coffee,31-10-2016 12:43,afternoon,weekday
Bread,31-10-2016 12:50,afternoon,weekday
Muffin,31-10-2016 12:50,afternoon,weekday
Hearty & Seasonal,31-10-2016 12:50,afternoon,weekday
Coffee,31-10-2016 12:53,afternoon,weekday
Coffee,31-10-2016 12:53,afternoon,weekday
Cookies,31-10-2016 12:53,afternoon,weekday
Bread,31-10-2016 12:54,afternoon,weekday
Tea,31-10-2016 12:56,afternoon,weekday
Muffin,31-10-2016 12:56,afternoon,weekday
Tea,31-10-2016 12:59,afternoon,weekday
Soup,31-10-2016 13:02,afternoon,weekday
Hearty & Seasonal,31-10-2016 13:02,afternoon,weekday
Coffee,31-10-2016 13:05,afternoon,weekday
Tea,31-10-2016 13:05,afternoon,weekday
Focaccia,31-10-2016 13:05,afternoon,weekday
Sandwich,31-10-2016 13:08,afternoon,weekday
Tartine,31-10-2016 13:09,afternoon,weekday
Coffee,31-10-2016 13:09,afternoon,weekday
Fudge,31-10-2016 13:21,afternoon,weekday
Coffee,31-10-2016 13:21,afternoon,weekday
Coffee,31-10-2016 13:21,afternoon,weekday
Coffee,31-10-2016 13:26,afternoon,weekday
Bread,31-10-2016 13:31,afternoon,weekday
Coke,31-10-2016 13:50,afternoon,weekday
Soup,31-10-2016 13:50,afternoon,weekday
Muffin,31-10-2016 13:51,afternoon,weekday
Tea,31-10-2016 13:55,afternoon,weekday
Coffee,31-10-2016 13:55,afternoon,weekday
Cookies,31-10-2016 13:55,afternoon,weekday
Muffin,31-10-2016 13:55,afternoon,weekday
Mighty Protein,31-10-2016 14:00,afternoon,weekday
Hearty & Seasonal,31-10-2016 14:00,afternoon,weekday
Coffee,31-10-2016 14:00,afternoon,weekday
Coke,31-10-2016 14:00,afternoon,weekday
Tea,31-10-2016 14:01,afternoon,weekday
Muffin,31-10-2016 14:01,afternoon,weekday
Sandwich,31-10-2016 14:01,afternoon,weekday
Coffee,31-10-2016 14:04,afternoon,weekday
Muffin,31-10-2016 14:04,afternoon,weekday
Coffee,31-10-2016 14:05,afternoon,weekday
Bread,31-10-2016 14:05,afternoon,weekday
Coffee,31-10-2016 14:20,afternoon,weekday
Muffin,31-10-2016 14:20,afternoon,weekday
Bread,31-10-2016 14:22,afternoon,weekday
Hot chocolate,31-10-2016 14:22,afternoon,weekday
Cookies,31-10-2016 14:22,afternoon,weekday
Mineral water,31-10-2016 14:35,afternoon,weekday
Muffin,31-10-2016 14:35,afternoon,weekday
Tea,31-10-2016 14:42,afternoon,weekday
Muffin,31-10-2016 14:44,afternoon,weekday
Coffee,31-10-2016 14:47,afternoon,weekday
Juice,31-10-2016 14:47,afternoon,weekday
Coffee,31-10-2016 14:47,afternoon,weekday
Muffin,31-10-2016 14:47,afternoon,weekday
Tea,31-10-2016 14:48,afternoon,weekday
Coffee,31-10-2016 14:49,afternoon,weekday
Muffin,31-10-2016 14:49,afternoon,weekday
Sandwich,31-10-2016 14:50,afternoon,weekday
Hearty & Seasonal,31-10-2016 14:50,afternoon,weekday
Bread,31-10-2016 14:50,afternoon,weekday
Mineral water,31-10-2016 14:50,afternoon,weekday
Tea,31-10-2016 14:56,afternoon,weekday
Coffee,31-10-2016 14:56,afternoon,weekday
Mineral water,31-10-2016 15:05,afternoon,weekday
Coffee,31-10-2016 15:16,afternoon,weekday
Soup,31-10-2016 15:20,afternoon,weekday
Tea,31-10-2016 15:20,afternoon,weekday
Bread,31-10-2016 17:06,evening,weekday
Coffee,31-10-2016 17:06,evening,weekday
Bread,31-10-2016 17:08,evening,weekday
Muffin,31-10-2016 17:08,evening,weekday
Coffee,31-10-2016 17:40,evening,weekday
Bread,31-10-2016 17:49,evening,weekday
Cookies,31-10-2016 18:22,evening,weekday
Coffee,31-10-2016 18:22,evening,weekday
Coffee,01-11-2016 07:51,morning,weekday
Pastry,01-11-2016 07:51,morning,weekday
Coffee,01-11-2016 08:20,morning,weekday
Pastry,01-11-2016 08:20,morning,weekday
Jam,01-11-2016 08:22,morning,weekday
Tea,01-11-2016 08:22,morning,weekday
Tea,01-11-2016 08:45,morning,weekday
Tea,01-11-2016 08:45,morning,weekday
Pastry,01-11-2016 09:07,morning,weekday
Pastry,01-11-2016 09:07,morning,weekday
Ella's Kitchen Pouches,01-11-2016 09:07,morning,weekday
Pastry,01-11-2016 09:09,morning,weekday
Farm House,01-11-2016 09:26,morning,weekday
Tea,01-11-2016 09:26,morning,weekday
Tea,01-11-2016 09:29,morning,weekday
Victorian Sponge,01-11-2016 09:29,morning,weekday
Tea,01-11-2016 09:43,morning,weekday
Pastry,01-11-2016 09:43,morning,weekday
Bread,01-11-2016 10:02,morning,weekday
Coffee,01-11-2016 10:04,morning,weekday
Bread,01-11-2016 10:29,morning,weekday
Coffee,01-11-2016 10:29,morning,weekday
Coffee,01-11-2016 10:34,morning,weekday
Pastry,01-11-2016 10:34,morning,weekday
Pastry,01-11-2016 10:34,morning,weekday
Soup,01-11-2016 10:50,morning,weekday
Tea,01-11-2016 10:50,morning,weekday
Bread,01-11-2016 10:56,morning,weekday
Coffee,01-11-2016 11:00,morning,weekday
Bread,01-11-2016 11:04,morning,weekday
Bread,01-11-2016 11:04,morning,weekday
Bread,01-11-2016 11:06,morning,weekday
Scandinavian,01-11-2016 11:06,morning,weekday
Bread,01-11-2016 11:08,morning,weekday
Cake,01-11-2016 11:08,morning,weekday
Cookies,01-11-2016 11:08,morning,weekday
Coffee,01-11-2016 11:10,morning,weekday
Coffee,01-11-2016 11:10,morning,weekday
Tea,01-11-2016 11:10,morning,weekday
Coffee,01-11-2016 11:11,morning,weekday
Cookies,01-11-2016 11:11,morning,weekday
Coffee,01-11-2016 11:13,morning,weekday
Bread,01-11-2016 11:16,morning,weekday
Coffee,01-11-2016 11:22,morning,weekday
Pastry,01-11-2016 11:22,morning,weekday
Coffee,01-11-2016 11:23,morning,weekday
Coffee,01-11-2016 11:23,morning,weekday
Coffee,01-11-2016 11:25,morning,weekday
Scandinavian,01-11-2016 11:30,morning,weekday
Bread,01-11-2016 11:30,morning,weekday
Coffee,01-11-2016 11:49,morning,weekday
Coffee,01-11-2016 11:49,morning,weekday
Pastry,01-11-2016 11:49,morning,weekday
Scandinavian,01-11-2016 11:54,morning,weekday
Coffee,01-11-2016 11:54,morning,weekday
Pastry,01-11-2016 11:54,morning,weekday
Hearty & Seasonal,01-11-2016 12:03,afternoon,weekday
Coffee,01-11-2016 12:03,afternoon,weekday
Muffin,01-11-2016 12:03,afternoon,weekday
Bread,01-11-2016 12:10,afternoon,weekday
Coffee,01-11-2016 12:10,afternoon,weekday
Scandinavian,01-11-2016 12:12,afternoon,weekday
Soup,01-11-2016 12:15,afternoon,weekday
Coffee,01-11-2016 12:15,afternoon,weekday
Coffee,01-11-2016 12:20,afternoon,weekday
Cookies,01-11-2016 12:20,afternoon,weekday
Tartine,01-11-2016 12:20,afternoon,weekday
Bread,01-11-2016 12:22,afternoon,weekday
Bread,01-11-2016 12:26,afternoon,weekday
Tea,01-11-2016 12:26,afternoon,weekday
Tea,01-11-2016 12:26,afternoon,weekday
Pastry,01-11-2016 12:30,afternoon,weekday
Coffee,01-11-2016 12:30,afternoon,weekday
Tartine,01-11-2016 12:31,afternoon,weekday
Coffee,01-11-2016 12:31,afternoon,weekday
Bread,01-11-2016 12:33,afternoon,weekday
Cookies,01-11-2016 12:33,afternoon,weekday
Sandwich,01-11-2016 12:37,afternoon,weekday
Tartine,01-11-2016 12:41,afternoon,weekday
Bread,01-11-2016 12:49,afternoon,weekday
Pastry,01-11-2016 12:49,afternoon,weekday
Bread,01-11-2016 12:53,afternoon,weekday
Scandinavian,01-11-2016 12:53,afternoon,weekday
Scandinavian,01-11-2016 13:08,afternoon,weekday
Alfajores,01-11-2016 13:11,afternoon,weekday
Coffee,01-11-2016 13:11,afternoon,weekday
Coffee,01-11-2016 13:15,afternoon,weekday
Coffee,01-11-2016 13:19,afternoon,weekday
Coke,01-11-2016 13:19,afternoon,weekday
Soup,01-11-2016 13:19,afternoon,weekday
Cake,01-11-2016 13:21,afternoon,weekday
Tea,01-11-2016 13:31,afternoon,weekday
Sandwich,01-11-2016 13:31,afternoon,weekday
Soup,01-11-2016 13:31,afternoon,weekday
Coffee,01-11-2016 13:33,afternoon,weekday
Hearty & Seasonal,01-11-2016 13:37,afternoon,weekday
Bread,01-11-2016 13:37,afternoon,weekday
Alfajores,01-11-2016 13:41,afternoon,weekday
Cake,01-11-2016 13:45,afternoon,weekday
Tea,01-11-2016 14:10,afternoon,weekday
Tea,01-11-2016 14:10,afternoon,weekday
Bread,01-11-2016 14:10,afternoon,weekday
Coffee,01-11-2016 14:13,afternoon,weekday
Tea,01-11-2016 14:13,afternoon,weekday
Bread,01-11-2016 14:13,afternoon,weekday
Soup,01-11-2016 14:13,afternoon,weekday
Coffee,01-11-2016 14:14,afternoon,weekday
Coffee,01-11-2016 14:14,afternoon,weekday
Scandinavian,01-11-2016 14:18,afternoon,weekday
Fudge,01-11-2016 14:22,afternoon,weekday
Coffee,01-11-2016 14:25,afternoon,weekday
Sandwich,01-11-2016 14:25,afternoon,weekday
Tea,01-11-2016 14:37,afternoon,weekday
Bread,01-11-2016 14:37,afternoon,weekday
Cookies,01-11-2016 14:37,afternoon,weekday
Pastry,01-11-2016 14:37,afternoon,weekday
Muffin,01-11-2016 14:37,afternoon,weekday
Scandinavian,01-11-2016 14:42,afternoon,weekday
Jam,01-11-2016 14:54,afternoon,weekday
Tea,01-11-2016 14:54,afternoon,weekday
Juice,01-11-2016 15:02,afternoon,weekday
Tea,01-11-2016 15:02,afternoon,weekday
Alfajores,01-11-2016 15:02,afternoon,weekday
Cake,01-11-2016 15:18,afternoon,weekday
Muffin,01-11-2016 15:18,afternoon,weekday
Coffee,01-11-2016 15:18,afternoon,weekday
Soup,01-11-2016 15:18,afternoon,weekday
Hot chocolate,01-11-2016 15:33,afternoon,weekday
Cake,01-11-2016 15:33,afternoon,weekday
Coffee,01-11-2016 15:33,afternoon,weekday
Cake,01-11-2016 15:37,afternoon,weekday
Cookies,01-11-2016 15:37,afternoon,weekday
Tea,01-11-2016 15:48,afternoon,weekday
Bread,01-11-2016 15:48,afternoon,weekday
Alfajores,01-11-2016 16:07,afternoon,weekday
Coffee,01-11-2016 16:07,afternoon,weekday
Coffee,01-11-2016 16:07,afternoon,weekday
Coffee,01-11-2016 16:07,afternoon,weekday
Juice,01-11-2016 16:07,afternoon,weekday
Coffee,01-11-2016 16:08,afternoon,weekday
Tea,01-11-2016 16:08,afternoon,weekday
Soup,01-11-2016 16:08,afternoon,weekday
Hot chocolate,01-11-2016 16:10,afternoon,weekday
Cookies,01-11-2016 16:10,afternoon,weekday
Coffee,01-11-2016 16:26,afternoon,weekday
Medialuna,01-11-2016 16:26,afternoon,weekday
Bread,01-11-2016 16:28,afternoon,weekday
Eggs,01-11-2016 16:28,afternoon,weekday
Scandinavian,01-11-2016 17:46,evening,weekday
Medialuna,01-11-2016 18:43,evening,weekday
Coffee,02-11-2016 08:02,morning,weekday
Coffee,02-11-2016 08:02,morning,weekday
Pastry,02-11-2016 08:02,morning,weekday
Coffee,02-11-2016 08:05,morning,weekday
Bread,02-11-2016 08:05,morning,weekday
Bread,02-11-2016 08:07,morning,weekday
Coffee,02-11-2016 08:07,morning,weekday
Pastry,02-11-2016 08:07,morning,weekday
Coffee,02-11-2016 08:08,morning,weekday
Pastry,02-11-2016 08:08,morning,weekday
Pastry,02-11-2016 08:11,morning,weekday
Coffee,02-11-2016 08:12,morning,weekday
Coffee,02-11-2016 08:12,morning,weekday
Coffee,02-11-2016 08:29,morning,weekday
Hot chocolate,02-11-2016 08:29,morning,weekday
Pastry,02-11-2016 08:29,morning,weekday
Coke,02-11-2016 08:53,morning,weekday
Coffee,02-11-2016 09:02,morning,weekday
Jam,02-11-2016 09:02,morning,weekday
Tea,02-11-2016 09:03,morning,weekday
Bread,02-11-2016 09:05,morning,weekday
Pastry,02-11-2016 09:05,morning,weekday
Coffee,02-11-2016 09:18,morning,weekday
Alfajores,02-11-2016 09:18,morning,weekday
Farm House,02-11-2016 09:18,morning,weekday
Tea,02-11-2016 09:22,morning,weekday
Pastry,02-11-2016 09:22,morning,weekday
Bread,02-11-2016 09:25,morning,weekday
Coffee,02-11-2016 09:27,morning,weekday
Jam,02-11-2016 09:27,morning,weekday
Coffee,02-11-2016 09:33,morning,weekday
Tea,02-11-2016 09:33,morning,weekday
Coffee,02-11-2016 09:33,morning,weekday
Pastry,02-11-2016 09:33,morning,weekday
Farm House,02-11-2016 09:35,morning,weekday
Coffee,02-11-2016 09:52,morning,weekday
Bread,02-11-2016 09:52,morning,weekday
Pastry,02-11-2016 09:52,morning,weekday
Farm House,02-11-2016 09:53,morning,weekday
Coffee,02-11-2016 09:54,morning,weekday
Coffee,02-11-2016 09:54,morning,weekday
Pastry,02-11-2016 09:54,morning,weekday
Farm House,02-11-2016 10:12,morning,weekday
Coffee,02-11-2016 10:13,morning,weekday
Pastry,02-11-2016 10:13,morning,weekday
Coffee,02-11-2016 10:15,morning,weekday
Coffee,02-11-2016 10:17,morning,weekday
Pastry,02-11-2016 10:17,morning,weekday
Bread,02-11-2016 10:29,morning,weekday
Bread,02-11-2016 10:29,morning,weekday
Bread,02-11-2016 10:37,morning,weekday
Coffee,02-11-2016 10:37,morning,weekday
Pastry,02-11-2016 10:37,morning,weekday
Pastry,02-11-2016 10:44,morning,weekday
Coffee,02-11-2016 10:44,morning,weekday
Coffee,02-11-2016 10:48,morning,weekday
Farm House,02-11-2016 10:48,morning,weekday
Farm House,02-11-2016 10:52,morning,weekday
Farm House,02-11-2016 10:52,morning,weekday
Pastry,02-11-2016 10:52,morning,weekday
Bread,02-11-2016 10:53,morning,weekday
Juice,02-11-2016 10:53,morning,weekday
