Transaction,Item,period_day,weekday_weekend,month,day,hour
50,victorian sponge,afternoon,weekend,10,Sunday,12
51,bread,afternoon,weekend,10,Sunday,12
52,scandinavian,afternoon,weekend,10,Sunday,12
54,bread,afternoon,weekend,10,Sunday,12
55,frittata,afternoon,weekend,10,Sunday,12
55,coffee,afternoon,weekend,10,Sunday,12
55,tea,afternoon,weekend,10,Sunday,12
55,hearty & seasonal,afternoon,weekend,10,Sunday,12
56,coffee,afternoon,weekend,10,Sunday,12
56,frittata,afternoon,weekend,10,Sunday,12
57,scandinavian,afternoon,weekend,10,Sunday,12
58,victorian sponge,afternoon,weekend,10,Sunday,12
58,hot chocolate,afternoon,weekend,10,Sunday,12
58,tea,afternoon,weekend,10,Sunday,12
58,soup,afternoon,weekend,10,Sunday,12
59,tea,afternoon,weekend,10,Sunday,13
60,cookies,afternoon,weekend,10,Sunday,13
60,coffee,afternoon,weekend,10,Sunday,13
60,juice,afternoon,weekend,10,Sunday,13
60,coffee,afternoon,weekend,10,Sunday,13
61,coffee,afternoon,weekend,10,Sunday,13
62,pick and mix bowls,afternoon,weekend,10,Sunday,13
62,hearty & seasonal,afternoon,weekend,10,Sunday,13
62,hearty & seasonal,afternoon,weekend,10,Sunday,13
62,coffee,afternoon,weekend,10,Sunday,13
62,smoothies,afternoon,weekend,10,Sunday,13
62,coffee,afternoon,weekend,10,Sunday,13
63,coffee,afternoon,weekend,10,Sunday,13
64,cake,afternoon,weekend,10,Sunday,13
65,tartine,afternoon,weekend,10,Sunday,13
65,mighty protein,afternoon,weekend,10,Sunday,13
65,tea,afternoon,weekend,10,Sunday,13
65,coffee,afternoon,weekend,10,Sunday,13
66,hearty & seasonal,afternoon,weekend,10,Sunday,13
66,frittata,afternoon,weekend,10,Sunday,13
66,mineral water,afternoon,weekend,10,Sunday,13
67,hearty & seasonal,afternoon,weekend,10,Sunday,13
67,mineral water,afternoon,weekend,10,Sunday,13
67,muffin,afternoon,weekend,10,Sunday,13
68,frittata,afternoon,weekend,10,Sunday,13
68,coffee,afternoon,weekend,10,Sunday,13
68,tea,afternoon,weekend,10,Sunday,13
68,scandinavian,afternoon,weekend,10,Sunday,13
68,chicken sand,afternoon,weekend,10,Sunday,13
69,bread,afternoon,weekend,10,Sunday,13
69,tea,afternoon,weekend,10,Sunday,13
69,victorian sponge,afternoon,weekend,10,Sunday,13
70,fudge,afternoon,weekend,10,Sunday,13
71,muffin,afternoon,weekend,10,Sunday,13
72,coffee,afternoon,weekend,10,Sunday,14
72,bread,afternoon,weekend,10,Sunday,14
73,bread,afternoon,weekend,10,Sunday,14
74,coffee,afternoon,weekend,10,Sunday,14
74,bread,afternoon,weekend,10,Sunday,14
75,jam,afternoon,weekend,10,Sunday,14
75,frittata,afternoon,weekend,10,Sunday,14
76,coffee,afternoon,weekend,10,Sunday,14
77,scandinavian,afternoon,weekend,10,Sunday,14
78,fudge,afternoon,weekend,10,Sunday,14
79,fudge,afternoon,weekend,10,Sunday,14
79,tea,afternoon,weekend,10,Sunday,14
79,coffee,afternoon,weekend,10,Sunday,14
79,muffin,afternoon,weekend,10,Sunday,14
80,frittata,afternoon,weekend,10,Sunday,14
80,bread,afternoon,weekend,10,Sunday,14
80,coffee,afternoon,weekend,10,Sunday,14
81,coffee,morning,weekday,10,Monday,8
81,cake,morning,weekday,10,Monday,8
82,tartine,morning,weekday,10,Monday,8
82,bread,morning,weekday,10,Monday,8
83,coffee,morning,weekday,10,Monday,8
83,bread,morning,weekday,10,Monday,8
84,bread,morning,weekday,10,Monday,9
85,coffee,morning,weekday,10,Monday,9
85,coffee,morning,weekday,10,Monday,9
85,pastry,morning,weekday,10,Monday,9
85,medialuna,morning,weekday,10,Monday,9
86,juice,morning,weekday,10,Monday,9
87,bread,morning,weekday,10,Monday,9
88,coffee,morning,weekday,10,Monday,9
88,coffee,morning,weekday,10,Monday,9
88,jam,morning,weekday,10,Monday,9
89,bread,morning,weekday,10,Monday,9
90,bread,morning,weekday,10,Monday,9
90,coffee,morning,weekday,10,Monday,9
91,tea,morning,weekday,10,Monday,9
92,coffee,morning,weekday,10,Monday,9
93,bread,morning,weekday,10,Monday,9
93,coke,morning,weekday,10,Monday,9
94,coffee,morning,weekday,10,Monday,9
94,coffee,morning,weekday,10,Monday,9
95,tea,morning,weekday,10,Monday,9
95,pastry,morning,weekday,10,Monday,9
95,farm house,morning,weekday,10,Monday,9
96,pastry,morning,weekday,10,Monday,9
96,pastry,morning,weekday,10,Monday,9
96,coffee,morning,weekday,10,Monday,9
96,juice,morning,weekday,10,Monday,9
97,coffee,morning,weekday,10,Monday,9
97,pastry,morning,weekday,10,Monday,9
97,juice,morning,weekday,10,Monday,9
98,farm house,morning,weekday,10,Monday,9
99,pastry,morning,weekday,10,Monday,9
99,pastry,morning,weekday,10,Monday,9
99,coffee,morning,weekday,10,Monday,9
99,bread,morning,weekday,10,Monday,9
100,bread,morning,weekday,10,Monday,9
101,coffee,morning,weekday,10,Monday,10
101,pastry,morning,weekday,10,Monday,10
102,farm house,morning,weekday,10,Monday,10
103,bread,morning,weekday,10,Monday,10
104,coffee,morning,weekday,10,Monday,10
104,coffee,morning,weekday,10,Monday,10
104,medialuna,morning,weekday,10,Monday,10
104,muffin,morning,weekday,10,Monday,10
104,coffee,morning,weekday,10,Monday,10
105,coffee,morning,weekday,10,Monday,10
105,tea,morning,weekday,10,Monday,10
105,cake,morning,weekday,10,Monday,10
106,coffee,morning,weekday,10,Monday,10
106,coffee,morning,weekday,10,Monday,10
106,pastry,morning,weekday,10,Monday,10
106,pastry,morning,weekday,10,Monday,10
107,coffee,morning,weekday,10,Monday,10
107,tea,morning,weekday,10,Monday,10
108,farm house,morning,weekday,10,Monday,10
108,muffin,morning,weekday,10,Monday,10
109,bread,morning,weekday,10,Monday,10
109,muffin,morning,weekday,10,Monday,10
109,pastry,morning,weekday,10,Monday,10
110,pastry,morning,weekday,10,Monday,10
111,coffee,morning,weekday,10,Monday,10
112,coffee,morning,weekday,10,Monday,10
113,coffee,morning,weekday,10,Monday,11
113,cake,morning,weekday,10,Monday,11
114,farm house,morning,weekday,10,Monday,11
115,bread,morning,weekday,10,Monday,11
116,coffee,morning,weekday,10,Monday,11
117,cookies,morning,weekday,10,Monday,11
117,cake,morning,weekday,10,Monday,11
117,coffee,morning,weekday,10,Monday,11
117,my-5 fruit shoot,morning,weekday,10,Monday,11
118,cookies,morning,weekday,10,Monday,11
118,cookies,morning,weekday,10,Monday,11
118,tea,morning,weekday,10,Monday,11
118,pastry,morning,weekday,10,Monday,11
119,coffee,morning,weekday,10,Monday,11
119,coffee,morning,weekday,10,Monday,11
119,muffin,morning,weekday,10,Monday,11
120,farm house,morning,weekday,10,Monday,11
121,coffee,morning,weekday,10,Monday,11
121,bread,morning,weekday,10,Monday,11
122,cookies,morning,weekday,10,Monday,11
123,jam,morning,weekday,10,Monday,11
123,coffee,morning,weekday,10,Monday,11
123,coffee,morning,weekday,10,Monday,11
123,juice,morning,weekday,10,Monday,11
124,coffee,morning,weekday,10,Monday,11
124,soup,morning,weekday,10,Monday,11
125,tea,morning,weekday,10,Monday,11
126,coffee,morning,weekday,10,Monday,11
126,jam,morning,weekday,10,Monday,11
127,farm house,morning,weekday,10,Monday,11
128,tartine,morning,weekday,10,Monday,11
128,coffee,morning,weekday,10,Monday,11
128,tea,morning,weekday,10,Monday,11
129,coffee,morning,weekday,10,Monday,11
129,coffee,morning,weekday,10,Monday,11
129,cake,morning,weekday,10,Monday,11
130,coffee,afternoon,weekday,10,Monday,12
130,coffee,afternoon,weekday,10,Monday,12
130,muffin,afternoon,weekday,10,Monday,12
131,bread,afternoon,weekday,10,Monday,12
131,coffee,afternoon,weekday,10,Monday,12
132,tea,afternoon,weekday,10,Monday,12
132,juice,afternoon,weekday,10,Monday,12
132,pick and mix bowls,afternoon,weekday,10,Monday,12
132,cookies,afternoon,weekday,10,Monday,12
133,hearty & seasonal,afternoon,weekday,10,Monday,12
133,soup,afternoon,weekday,10,Monday,12
134,hearty & seasonal,afternoon,weekday,10,Monday,12
134,tea,afternoon,weekday,10,Monday,12
134,farm house,afternoon,weekday,10,Monday,12
135,bread,afternoon,weekday,10,Monday,12
136,tea,afternoon,weekday,10,Monday,12
136,soup,afternoon,weekday,10,Monday,12
137,farm house,afternoon,weekday,10,Monday,12
138,soup,afternoon,weekday,10,Monday,12
138,hearty & seasonal,afternoon,weekday,10,Monday,12
138,coffee,afternoon,weekday,10,Monday,12
139,bread,afternoon,weekday,10,Monday,12
139,muffin,afternoon,weekday,10,Monday,12
139,hearty & seasonal,afternoon,weekday,10,Monday,12
140,coffee,afternoon,weekday,10,Monday,12
140,coffee,afternoon,weekday,10,Monday,12
140,cookies,afternoon,weekday,10,Monday,12
141,bread,afternoon,weekday,10,Monday,12
142,tea,afternoon,weekday,10,Monday,12
142,muffin,afternoon,weekday,10,Monday,12
143,tea,afternoon,weekday,10,Monday,12
144,soup,afternoon,weekday,10,Monday,13
144,hearty & seasonal,afternoon,weekday,10,Monday,13
145,coffee,afternoon,weekday,10,Monday,13
145,tea,afternoon,weekday,10,Monday,13
145,focaccia,afternoon,weekday,10,Monday,13
146,sandwich,afternoon,weekday,10,Monday,13
147,tartine,afternoon,weekday,10,Monday,13
147,coffee,afternoon,weekday,10,Monday,13
148,fudge,afternoon,weekday,10,Monday,13
148,coffee,afternoon,weekday,10,Monday,13
148,coffee,afternoon,weekday,10,Monday,13
149,coffee,afternoon,weekday,10,Monday,13
150,bread,afternoon,weekday,10,Monday,13
151,coke,afternoon,weekday,10,Monday,13
151,soup,afternoon,weekday,10,Monday,13
152,muffin,afternoon,weekday,10,Monday,13
153,tea,afternoon,weekday,10,Monday,13
153,coffee,afternoon,weekday,10,Monday,13
153,cookies,afternoon,weekday,10,Monday,13
153,muffin,afternoon,weekday,10,Monday,13
154,mighty protein,afternoon,weekday,10,Monday,14
154,hearty & seasonal,afternoon,weekday,10,Monday,14
154,coffee,afternoon,weekday,10,Monday,14
154,coke,afternoon,weekday,10,Monday,14
155,tea,afternoon,weekday,10,Monday,14
155,muffin,afternoon,weekday,10,Monday,14
155,sandwich,afternoon,weekday,10,Monday,14
156,coffee,afternoon,weekday,10,Monday,14
156,muffin,afternoon,weekday,10,Monday,14
157,coffee,afternoon,weekday,10,Monday,14
157,bread,afternoon,weekday,10,Monday,14
158,coffee,afternoon,weekday,10,Monday,14
158,muffin,afternoon,weekday,10,Monday,14
159,bread,afternoon,weekday,10,Monday,14
159,hot chocolate,afternoon,weekday,10,Monday,14
159,cookies,afternoon,weekday,10,Monday,14
160,mineral water,afternoon,weekday,10,Monday,14
160,muffin,afternoon,weekday,10,Monday,14
161,tea,afternoon,weekday,10,Monday,14
162,muffin,afternoon,weekday,10,Monday,14
163,coffee,afternoon,weekday,10,Monday,14
163,juice,afternoon,weekday,10,Monday,14
164,coffee,afternoon,weekday,10,Monday,14
164,muffin,afternoon,weekday,10,Monday,14
165,tea,afternoon,weekday,10,Monday,14
166,coffee,afternoon,weekday,10,Monday,14
166,muffin,afternoon,weekday,10,Monday,14
167,sandwich,afternoon,weekday,10,Monday,14
167,hearty & seasonal,afternoon,weekday,10,Monday,14
167,bread,afternoon,weekday,10,Monday,14
167,mineral water,afternoon,weekday,10,Monday,14
168,tea,afternoon,weekday,10,Monday,14
168,coffee,afternoon,weekday,10,Monday,14
169,mineral water,afternoon,weekday,10,Monday,15
170,coffee,afternoon,weekday,10,Monday,15
171,soup,afternoon,weekday,10,Monday,15
171,tea,afternoon,weekday,10,Monday,15
172,bread,evening,weekday,10,Monday,17
172,coffee,evening,weekday,10,Monday,17
173,bread,evening,weekday,10,Monday,17
173,muffin,evening,weekday,10,Monday,17
174,coffee,evening,weekday,10,Monday,17
175,bread,evening,weekday,10,Monday,17
176,cookies,evening,weekday,10,Monday,18
176,coffee,evening,weekday,10,Monday,18
178,coffee,morning,weekday,1,Monday,7
178,pastry,morning,weekday,1,Monday,7
179,coffee,morning,weekday,1,Monday,8
179,pastry,morning,weekday,1,Monday,8
180,jam,morning,weekday,1,Monday,8
180,tea,morning,weekday,1,Monday,8
181,tea,morning,weekday,1,Monday,8
181,tea,morning,weekday,1,Monday,8
182,pastry,morning,weekday,1,Monday,9
182,pastry,morning,weekday,1,Monday,9
182,ella's kitchen pouches,morning,weekday,1,Monday,9
183,pastry,morning,weekday,1,Monday,9
184,farm house,morning,weekday,1,Monday,9
184,tea,morning,weekday,1,Monday,9
185,tea,morning,weekday,1,Monday,9
185,victorian sponge,morning,weekday,1,Monday,9
186,tea,morning,weekday,1,Monday,9
186,pastry,morning,weekday,1,Monday,9
187,bread,morning,weekday,1,Monday,10
188,coffee,morning,weekday,1,Monday,10
189,bread,morning,weekday,1,Monday,10
189,coffee,morning,weekday,1,Monday,10
190,coffee,morning,weekday,1,Monday,10
190,pastry,morning,weekday,1,Monday,10
190,pastry,morning,weekday,1,Monday,10
191,soup,morning,weekday,1,Monday,10
191,tea,morning,weekday,1,Monday,10
192,bread,morning,weekday,1,Monday,10
193,coffee,morning,weekday,1,Monday,11
194,bread,morning,weekday,1,Monday,11
194,bread,morning,weekday,1,Monday,11
195,bread,morning,weekday,1,Monday,11
195,scandinavian,morning,weekday,1,Monday,11
196,bread,morning,weekday,1,Monday,11
196,cake,morning,weekday,1,Monday,11
196,cookies,morning,weekday,1,Monday,11
197,coffee,morning,weekday,1,Monday,11
197,coffee,morning,weekday,1,Monday,11
197,tea,morning,weekday,1,Monday,11
198,coffee,morning,weekday,1,Monday,11
198,cookies,morning,weekday,1,Monday,11
199,coffee,morning,weekday,1,Monday,11
200,bread,morning,weekday,1,Monday,11
201,coffee,morning,weekday,1,Monday,11
201,pastry,morning,weekday,1,Monday,11
202,coffee,morning,weekday,1,Monday,11
202,coffee,morning,weekday,1,Monday,11
203,coffee,morning,weekday,1,Monday,11
204,scandinavian,morning,weekday,1,Monday,11
204,bread,morning,weekday,1,Monday,11
205,coffee,morning,weekday,1,Monday,11
205,coffee,morning,weekday,1,Monday,11
205,pastry,morning,weekday,1,Monday,11
206,scandinavian,morning,weekday,1,Monday,11
206,coffee,morning,weekday,1,Monday,11
206,pastry,morning,weekday,1,Monday,11
207,hearty & seasonal,afternoon,weekday,1,Monday,12
207,coffee,afternoon,weekday,1,Monday,12
207,muffin,afternoon,weekday,1,Monday,12
208,bread,afternoon,weekday,1,Monday,12
209,coffee,afternoon,weekday,1,Monday,12
210,scandinavian,afternoon,weekday,1,Monday,12
211,soup,afternoon,weekday,1,Monday,12
211,coffee,afternoon,weekday,1,Monday,12
212,coffee,afternoon,weekday,1,Monday,12
212,cookies,afternoon,weekday,1,Monday,12
212,tartine,afternoon,weekday,1,Monday,12
213,bread,afternoon,weekday,1,Monday,12
214,bread,afternoon,weekday,1,Monday,12
214,tea,afternoon,weekday,1,Monday,12
214,tea,afternoon,weekday,1,Monday,12
215,pastry,afternoon,weekday,1,Monday,12
215,coffee,afternoon,weekday,1,Monday,12
216,tartine,afternoon,weekday,1,Monday,12
216,coffee,afternoon,weekday,1,Monday,12
217,bread,afternoon,weekday,1,Monday,12
217,cookies,afternoon,weekday,1,Monday,12
218,sandwich,afternoon,weekday,1,Monday,12
219,tartine,afternoon,weekday,1,Monday,12
220,bread,afternoon,weekday,1,Monday,12
220,pastry,afternoon,weekday,1,Monday,12
221,bread,afternoon,weekday,1,Monday,12
221,scandinavian,afternoon,weekday,1,Monday,12
222,scandinavian,afternoon,weekday,1,Monday,13
223,alfajores,afternoon,weekday,1,Monday,13
223,coffee,afternoon,weekday,1,Monday,13
224,coffee,afternoon,weekday,1,Monday,13
225,coffee,afternoon,weekday,1,Monday,13
225,coke,afternoon,weekday,1,Monday,13
225,soup,afternoon,weekday,1,Monday,13
226,cake,afternoon,weekday,1,Monday,13
227,tea,afternoon,weekday,1,Monday,13
227,sandwich,afternoon,weekday,1,Monday,13
227,soup,afternoon,weekday,1,Monday,13
228,coffee,afternoon,weekday,1,Monday,13
229,hearty & seasonal,afternoon,weekday,1,Monday,13
229,bread,afternoon,weekday,1,Monday,13
230,alfajores,afternoon,weekday,1,Monday,13
231,cake,afternoon,weekday,1,Monday,13
232,tea,afternoon,weekday,1,Monday,14
232,tea,afternoon,weekday,1,Monday,14
232,bread,afternoon,weekday,1,Monday,14
233,coffee,afternoon,weekday,1,Monday,14
233,tea,afternoon,weekday,1,Monday,14
233,bread,afternoon,weekday,1,Monday,14
233,soup,afternoon,weekday,1,Monday,14
234,coffee,afternoon,weekday,1,Monday,14
234,coffee,afternoon,weekday,1,Monday,14
235,scandinavian,afternoon,weekday,1,Monday,14
236,fudge,afternoon,weekday,1,Monday,14
237,coffee,afternoon,weekday,1,Monday,14
237,sandwich,afternoon,weekday,1,Monday,14
238,tea,afternoon,weekday,1,Monday,14
238,bread,afternoon,weekday,1,Monday,14
238,cookies,afternoon,weekday,1,Monday,14
238,pastry,afternoon,weekday,1,Monday,14
239,muffin,afternoon,weekday,1,Monday,14
240,scandinavian,afternoon,weekday,1,Monday,14
241,jam,afternoon,weekday,1,Monday,14
241,tea,afternoon,weekday,1,Monday,14
242,juice,afternoon,weekday,1,Monday,15
242,tea,afternoon,weekday,1,Monday,15
242,alfajores,afternoon,weekday,1,Monday,15
243,cake,afternoon,weekday,1,Monday,15
243,muffin,afternoon,weekday,1,Monday,15
243,coffee,afternoon,weekday,1,Monday,15
243,soup,afternoon,weekday,1,Monday,15
244,hot chocolate,afternoon,weekday,1,Monday,15
244,cake,afternoon,weekday,1,Monday,15
244,coffee,afternoon,weekday,1,Monday,15
245,cake,afternoon,weekday,1,Monday,15
245,cookies,afternoon,weekday,1,Monday,15
246,tea,afternoon,weekday,1,Monday,15
246,bread,afternoon,weekday,1,Monday,15
247,alfajores,afternoon,weekday,1,Monday,16
247,coffee,afternoon,weekday,1,Monday,16
247,coffee,afternoon,weekday,1,Monday,16
247,coffee,afternoon,weekday,1,Monday,16
247,juice,afternoon,weekday,1,Monday,16
248,coffee,afternoon,weekday,1,Monday,16
248,tea,afternoon,weekday,1,Monday,16
248,soup,afternoon,weekday,1,Monday,16
249,hot chocolate,afternoon,weekday,1,Monday,16
250,cookies,afternoon,weekday,1,Monday,16
251,coffee,afternoon,weekday,1,Monday,16
251,medialuna,afternoon,weekday,1,Monday,16
252,bread,afternoon,weekday,1,Monday,16
252,eggs,afternoon,weekday,1,Monday,16
253,scandinavian,evening,weekday,1,Monday,17
254,medialuna,evening,weekday,1,Monday,18
255,coffee,morning,weekday,2,Thursday,8
255,coffee,morning,weekday,2,Thursday,8
255,pastry,morning,weekday,2,Thursday,8
256,coffee,morning,weekday,2,Thursday,8
256,bread,morning,weekday,2,Thursday,8
257,bread,morning,weekday,2,Thursday,8
257,coffee,morning,weekday,2,Thursday,8
257,pastry,morning,weekday,2,Thursday,8
258,coffee,morning,weekday,2,Thursday,8
258,pastry,morning,weekday,2,Thursday,8
259,pastry,morning,weekday,2,Thursday,8
260,coffee,morning,weekday,2,Thursday,8
261,coffee,morning,weekday,2,Thursday,8
262,coffee,morning,weekday,2,Thursday,8
262,hot chocolate,morning,weekday,2,Thursday,8
262,pastry,morning,weekday,2,Thursday,8
263,coke,morning,weekday,2,Thursday,8
264,coffee,morning,weekday,2,Thursday,9
264,jam,morning,weekday,2,Thursday,9
265,tea,morning,weekday,2,Thursday,9
266,bread,morning,weekday,2,Thursday,9
266,pastry,morning,weekday,2,Thursday,9
267,coffee,morning,weekday,2,Thursday,9
267,alfajores,morning,weekday,2,Thursday,9
267,farm house,morning,weekday,2,Thursday,9
268,tea,morning,weekday,2,Thursday,9
268,pastry,morning,weekday,2,Thursday,9
269,bread,morning,weekday,2,Thursday,9
270,coffee,morning,weekday,2,Thursday,9
270,jam,morning,weekday,2,Thursday,9
271,coffee,morning,weekday,2,Thursday,9
271,tea,morning,weekday,2,Thursday,9
271,coffee,morning,weekday,2,Thursday,9
271,pastry,morning,weekday,2,Thursday,9
272,farm house,morning,weekday,2,Thursday,9
274,coffee,morning,weekday,2,Thursday,9
274,bread,morning,weekday,2,Thursday,9
274,pastry,morning,weekday,2,Thursday,9
275,farm house,morning,weekday,2,Thursday,9
276,coffee,morning,weekday,2,Thursday,9
276,coffee,morning,weekday,2,Thursday,9
276,pastry,morning,weekday,2,Thursday,9
277,farm house,morning,weekday,2,Thursday,10
278,coffee,morning,weekday,2,Thursday,10
278,pastry,morning,weekday,2,Thursday,10
279,coffee,morning,weekday,2,Thursday,10
280,coffee,morning,weekday,2,Thursday,10
280,pastry,morning,weekday,2,Thursday,10
281,bread,morning,weekday,2,Thursday,10
281,bread,morning,weekday,2,Thursday,10
282,bread,morning,weekday,2,Thursday,10
282,coffee,morning,weekday,2,Thursday,10
282,pastry,morning,weekday,2,Thursday,10
283,pastry,morning,weekday,2,Thursday,10
283,coffee,morning,weekday,2,Thursday,10
284,coffee,morning,weekday,2,Thursday,10
284,farm house,morning,weekday,2,Thursday,10
285,farm house,morning,weekday,2,Thursday,10
285,farm house,morning,weekday,2,Thursday,10
285,pastry,morning,weekday,2,Thursday,10
286,bread,morning,weekday,2,Thursday,10
286,juice,morning,weekday,2,Thursday,10
286,alfajores,morning,weekday,2,Thursday,10
287,coffee,morning,weekday,2,Thursday,10
287,pastry,morning,weekday,2,Thursday,10
288,bread,morning,weekday,2,Thursday,10
288,alfajores,morning,weekday,2,Thursday,10
289,bread,morning,weekday,2,Thursday,11
290,coffee,morning,weekday,2,Thursday,11
290,cookies,morning,weekday,2,Thursday,11
291,coffee,morning,weekday,2,Thursday,11
292,cookies,morning,weekday,2,Thursday,11
293,hearty & seasonal,morning,weekday,2,Thursday,11
294,coffee,morning,weekday,2,Thursday,11
295,jam,morning,weekday,2,Thursday,11
295,tartine,morning,weekday,2,Thursday,11
295,bread,morning,weekday,2,Thursday,11
296,farm house,morning,weekday,2,Thursday,11
296,scandinavian,morning,weekday,2,Thursday,11
297,hearty & seasonal,afternoon,weekday,2,Thursday,12
297,coffee,afternoon,weekday,2,Thursday,12
297,muffin,afternoon,weekday,2,Thursday,12
297,scandinavian,afternoon,weekday,2,Thursday,12
298,tartine,afternoon,weekday,2,Thursday,12
298,pick and mix bowls,afternoon,weekday,2,Thursday,12
298,coffee,afternoon,weekday,2,Thursday,12
298,coke,afternoon,weekday,2,Thursday,12
299,bread,afternoon,weekday,2,Thursday,12
300,scandinavian,afternoon,weekday,2,Thursday,12
300,farm house,afternoon,weekday,2,Thursday,12
300,alfajores,afternoon,weekday,2,Thursday,12
300,coffee,afternoon,weekday,2,Thursday,12
300,coffee,afternoon,weekday,2,Thursday,12
301,juice,afternoon,weekday,2,Thursday,12
301,mineral water,afternoon,weekday,2,Thursday,12
301,soup,afternoon,weekday,2,Thursday,12
302,soup,afternoon,weekday,2,Thursday,12
302,tea,afternoon,weekday,2,Thursday,12
303,juice,afternoon,weekday,2,Thursday,12
303,tea,afternoon,weekday,2,Thursday,12
303,cookies,afternoon,weekday,2,Thursday,12
303,soup,afternoon,weekday,2,Thursday,12
