Transaction,Item,period_day,month,day,hour,weekday_weekend
forty-five,hot chocolate,afternoon,Oct,Sunday,twelve,weekend
forty-five,medialuna,afternoon,Oct,Sunday,twelve,weekend
forty-six,coffee,afternoon,Oct,Sunday,twelve,weekend
forty-seven,ella's kitchen pouches,afternoon,Oct,Sunday,twelve,weekend
forty-seven,juice,afternoon,Oct,Sunday,twelve,weekend
forty-seven,bread,afternoon,Oct,Sunday,twelve,weekend
forty-seven,muffin,afternoon,Oct,Sunday,twelve,weekend
forty-seven,jam,afternoon,Oct,Sunday,twelve,weekend
forty-eight,coffee,afternoon,Oct,Sunday,twelve,weekend
forty-nine,coffee,afternoon,Oct,Sunday,twelve,weekend
forty-nine,coffee,afternoon,Oct,Sunday,twelve,weekend
forty-nine,medialuna,afternoon,Oct,Sunday,twelve,weekend
fifty,bread,afternoon,Oct,Sunday,twelve,weekend
fifty,victorian sponge,afternoon,Oct,Sunday,twelve,weekend
fifty-one,bread,afternoon,Oct,Sunday,twelve,weekend
fifty-two,scandinavian,afternoon,Oct,Sunday,twelve,weekend
fifty-four,bread,afternoon,Oct,Sunday,twelve,weekend
fifty-five,frittata,afternoon,Oct,Sunday,twelve,weekend
fifty-five,coffee,afternoon,Oct,Sunday,twelve,weekend
fifty-five,tea,afternoon,Oct,Sunday,twelve,weekend
fifty-five,hearty & seasonal,afternoon,Oct,Sunday,twelve,weekend
fifty-six,coffee,afternoon,Oct,Sunday,twelve,weekend
fifty-six,frittata,afternoon,Oct,Sunday,twelve,weekend
fifty-seven,scandinavian,afternoon,Oct,Sunday,twelve,weekend
fifty-eight,victorian sponge,afternoon,Oct,Sunday,twelve,weekend
fifty-eight,hot chocolate,afternoon,Oct,Sunday,twelve,weekend
fifty-eight,tea,afternoon,Oct,Sunday,twelve,weekend
fifty-eight,soup,afternoon,Oct,Sunday,twelve,weekend
fifty-nine,tea,afternoon,Oct,Sunday,thirteen,weekend
sixty,cookies,afternoon,Oct,Sunday,thirteen,weekend
sixty,coffee,afternoon,Oct,Sunday,thirteen,weekend
sixty,juice,afternoon,Oct,Sunday,thirteen,weekend
sixty,coffee,afternoon,Oct,Sunday,thirteen,weekend
sixty-one,coffee,afternoon,Oct,Sunday,thirteen,weekend
sixty-two,pick and mix bowls,afternoon,Oct,Sunday,thirteen,weekend
sixty-two,hearty & seasonal,afternoon,Oct,Sunday,thirteen,weekend
sixty-two,hearty & seasonal,afternoon,Oct,Sunday,thirteen,weekend
sixty-two,coffee,afternoon,Oct,Sunday,thirteen,weekend
sixty-two,smoothies,afternoon,Oct,Sunday,thirteen,weekend
sixty-two,coffee,afternoon,Oct,Sunday,thirteen,weekend
sixty-three,coffee,afternoon,Oct,Sunday,thirteen,weekend
sixty-four,cake,afternoon,Oct,Sunday,thirteen,weekend
sixty-five,tartine,afternoon,Oct,Sunday,thirteen,weekend
sixty-five,mighty protein,afternoon,Oct,Sunday,thirteen,weekend
sixty-five,tea,afternoon,Oct,Sunday,thirteen,weekend
sixty-five,coffee,afternoon,Oct,Sunday,thirteen,weekend
sixty-six,hearty & seasonal,afternoon,Oct,Sunday,thirteen,weekend
sixty-six,frittata,afternoon,Oct,Sunday,thirteen,weekend
sixty-six,mineral water,afternoon,Oct,Sunday,thirteen,weekend
sixty-seven,hearty & seasonal,afternoon,Oct,Sunday,thirteen,weekend
sixty-seven,mineral water,afternoon,Oct,Sunday,thirteen,weekend
sixty-seven,muffin,afternoon,Oct,Sunday,thirteen,weekend
sixty-eight,frittata,afternoon,Oct,Sunday,thirteen,weekend
sixty-eight,coffee,afternoon,Oct,Sunday,thirteen,weekend
sixty-eight,tea,afternoon,Oct,Sunday,thirteen,weekend
sixty-eight,scandinavian,afternoon,Oct,Sunday,thirteen,weekend
sixty-eight,chicken sand,afternoon,Oct,Sunday,thirteen,weekend
sixty-nine,bread,afternoon,Oct,Sunday,thirteen,weekend
sixty-nine,tea,afternoon,Oct,Sunday,thirteen,weekend
sixty-nine,victorian sponge,afternoon,Oct,Sunday,thirteen,weekend
seventy,fudge,afternoon,Oct,Sunday,thirteen,weekend
seventy-one,muffin,afternoon,Oct,Sunday,thirteen,weekend
seventy-two,coffee,afternoon,Oct,Sunday,fourteen,weekend
seventy-two,bread,afternoon,Oct,Sunday,fourteen,weekend
seventy-three,bread,afternoon,Oct,Sunday,fourteen,weekend
seventy-four,coffee,afternoon,Oct,Sunday,fourteen,weekend
seventy-four,bread,afternoon,Oct,Sunday,fourteen,weekend
seventy-five,jam,afternoon,Oct,Sunday,fourteen,weekend
seventy-five,frittata,afternoon,Oct,Sunday,fourteen,weekend
seventy-six,coffee,afternoon,Oct,Sunday,fourteen,weekend
seventy-seven,scandinavian,afternoon,Oct,Sunday,fourteen,weekend
seventy-eight,fudge,afternoon,Oct,Sunday,fourteen,weekend
seventy-nine,fudge,afternoon,Oct,Sunday,fourteen,weekend
seventy-nine,tea,afternoon,Oct,Sunday,fourteen,weekend
seventy-nine,coffee,afternoon,Oct,Sunday,fourteen,weekend
seventy-nine,muffin,afternoon,Oct,Sunday,fourteen,weekend
eighty,frittata,afternoon,Oct,Sunday,fourteen,weekend
eighty,bread,afternoon,Oct,Sunday,fourteen,weekend
eighty,coffee,afternoon,Oct,Sunday,fourteen,weekend
eighty-one,coffee,morning,Oct,Monday,eight,weekday
eighty-one,cake,morning,Oct,Monday,eight,weekday
eighty-two,tartine,morning,Oct,Monday,eight,weekday
eighty-two,bread,morning,Oct,Monday,eight,weekday
eighty-three,coffee,morning,Oct,Monday,eight,weekday
eighty-three,bread,morning,Oct,Monday,eight,weekday
eighty-four,bread,morning,Oct,Monday,nine,weekday
eighty-five,coffee,morning,Oct,Monday,nine,weekday
eighty-five,coffee,morning,Oct,Monday,nine,weekday
eighty-five,pastry,morning,Oct,Monday,nine,weekday
eighty-five,medialuna,morning,Oct,Monday,nine,weekday
eighty-six,juice,morning,Oct,Monday,nine,weekday
eighty-seven,bread,morning,Oct,Monday,nine,weekday
eighty-eight,coffee,morning,Oct,Monday,nine,weekday
eighty-eight,coffee,morning,Oct,Monday,nine,weekday
eighty-eight,jam,morning,Oct,Monday,nine,weekday
eighty-nine,bread,morning,Oct,Monday,nine,weekday
ninety,bread,morning,Oct,Monday,nine,weekday
ninety,coffee,morning,Oct,Monday,nine,weekday
ninety-one,tea,morning,Oct,Monday,nine,weekday
ninety-two,coffee,morning,Oct,Monday,nine,weekday
ninety-three,bread,morning,Oct,Monday,nine,weekday
ninety-three,coke,morning,Oct,Monday,nine,weekday
ninety-four,coffee,morning,Oct,Monday,nine,weekday
ninety-four,coffee,morning,Oct,Monday,nine,weekday
ninety-five,tea,morning,Oct,Monday,nine,weekday
ninety-five,pastry,morning,Oct,Monday,nine,weekday
ninety-five,farm house,morning,Oct,Monday,nine,weekday
ninety-six,pastry,morning,Oct,Monday,nine,weekday
ninety-six,pastry,morning,Oct,Monday,nine,weekday
ninety-six,coffee,morning,Oct,Monday,nine,weekday
ninety-six,juice,morning,Oct,Monday,nine,weekday
ninety-seven,coffee,morning,Oct,Monday,nine,weekday
ninety-seven,pastry,morning,Oct,Monday,nine,weekday
ninety-seven,juice,morning,Oct,Monday,nine,weekday
ninety-eight,farm house,morning,Oct,Monday,nine,weekday
ninety-nine,pastry,morning,Oct,Monday,nine,weekday
ninety-nine,pastry,morning,Oct,Monday,nine,weekday
ninety-nine,coffee,morning,Oct,Monday,nine,weekday
ninety-nine,bread,morning,Oct,Monday,nine,weekday
one hundred,bread,morning,Oct,Monday,nine,weekday
one hundred and one,coffee,morning,Oct,Monday,ten,weekday
one hundred and one,pastry,morning,Oct,Monday,ten,weekday
one hundred and two,farm house,morning,Oct,Monday,ten,weekday
one hundred and three,bread,morning,Oct,Monday,ten,weekday
one hundred and four,coffee,morning,Oct,Monday,ten,weekday
one hundred and four,coffee,morning,Oct,Monday,ten,weekday
one hundred and four,medialuna,morning,Oct,Monday,ten,weekday
one hundred and four,muffin,morning,Oct,Monday,ten,weekday
one hundred and four,coffee,morning,Oct,Monday,ten,weekday
one hundred and five,coffee,morning,Oct,Monday,ten,weekday
one hundred and five,tea,morning,Oct,Monday,ten,weekday
one hundred and five,cake,morning,Oct,Monday,ten,weekday
one hundred and six,coffee,morning,Oct,Monday,ten,weekday
one hundred and six,coffee,morning,Oct,Monday,ten,weekday
one hundred and six,pastry,morning,Oct,Monday,ten,weekday
one hundred and six,pastry,morning,Oct,Monday,ten,weekday
one hundred and seven,coffee,morning,Oct,Monday,ten,weekday
one hundred and seven,tea,morning,Oct,Monday,ten,weekday
one hundred and eight,farm house,morning,Oct,Monday,ten,weekday
one hundred and eight,muffin,morning,Oct,Monday,ten,weekday
one hundred and nine,bread,morning,Oct,Monday,ten,weekday
one hundred and nine,muffin,morning,Oct,Monday,ten,weekday
one hundred and nine,pastry,morning,Oct,Monday,ten,weekday
one hundred and ten,pastry,morning,Oct,Monday,ten,weekday
one hundred and eleven,coffee,morning,Oct,Monday,ten,weekday
one hundred and twelve,coffee,morning,Oct,Monday,ten,weekday
one hundred and thirteen,coffee,morning,Oct,Monday,eleven,weekday
one hundred and thirteen,cake,morning,Oct,Monday,eleven,weekday
one hundred and fourteen,farm house,morning,Oct,Monday,eleven,weekday
one hundred and fifteen,bread,morning,Oct,Monday,eleven,weekday
one hundred and sixteen,coffee,morning,Oct,Monday,eleven,weekday
one hundred and seventeen,cookies,morning,Oct,Monday,eleven,weekday
one hundred and seventeen,cake,morning,Oct,Monday,eleven,weekday
one hundred and seventeen,coffee,morning,Oct,Monday,eleven,weekday
one hundred and seventeen,my-5 fruit shoot,morning,Oct,Monday,eleven,weekday
one hundred and eighteen,cookies,morning,Oct,Monday,eleven,weekday
one hundred and eighteen,cookies,morning,Oct,Monday,eleven,weekday
one hundred and eighteen,tea,morning,Oct,Monday,eleven,weekday
one hundred and eighteen,pastry,morning,Oct,Monday,eleven,weekday
one hundred and nineteen,coffee,morning,Oct,Monday,eleven,weekday
one hundred and nineteen,coffee,morning,Oct,Monday,eleven,weekday
one hundred and nineteen,muffin,morning,Oct,Monday,eleven,weekday
one hundred and twenty,farm house,morning,Oct,Monday,eleven,weekday
one hundred and twenty-one,coffee,morning,Oct,Monday,eleven,weekday
one hundred and twenty-one,bread,morning,Oct,Monday,eleven,weekday
one hundred and twenty-two,cookies,morning,Oct,Monday,eleven,weekday
one hundred and twenty-three,jam,morning,Oct,Monday,eleven,weekday
one hundred and twenty-three,coffee,morning,Oct,Monday,eleven,weekday
one hundred and twenty-three,coffee,morning,Oct,Monday,eleven,weekday
one hundred and twenty-three,juice,morning,Oct,Monday,eleven,weekday
one hundred and twenty-four,coffee,morning,Oct,Monday,eleven,weekday
one hundred and twenty-four,soup,morning,Oct,Monday,eleven,weekday
one hundred and twenty-five,tea,morning,Oct,Monday,eleven,weekday
one hundred and twenty-six,coffee,morning,Oct,Monday,eleven,weekday
one hundred and twenty-six,jam,morning,Oct,Monday,eleven,weekday
one hundred and twenty-seven,farm house,morning,Oct,Monday,eleven,weekday
one hundred and twenty-eight,tartine,morning,Oct,Monday,eleven,weekday
one hundred and twenty-eight,coffee,morning,Oct,Monday,eleven,weekday
one hundred and twenty-eight,tea,morning,Oct,Monday,eleven,weekday
one hundred and twenty-nine,coffee,morning,Oct,Monday,eleven,weekday
one hundred and twenty-nine,coffee,morning,Oct,Monday,eleven,weekday
one hundred and twenty-nine,cake,morning,Oct,Monday,eleven,weekday
one hundred and thirty,coffee,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty,coffee,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty,muffin,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-one,bread,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-one,coffee,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-two,tea,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-two,juice,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-two,pick and mix bowls,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-two,cookies,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-three,hearty & seasonal,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-three,soup,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-four,hearty & seasonal,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-four,tea,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-four,farm house,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-five,bread,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-six,tea,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-six,soup,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-seven,farm house,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-eight,soup,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-eight,hearty & seasonal,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-eight,coffee,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-nine,bread,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-nine,muffin,afternoon,Oct,Monday,twelve,weekday
one hundred and thirty-nine,hearty & seasonal,afternoon,Oct,Monday,twelve,weekday
one hundred and forty,coffee,afternoon,Oct,Monday,twelve,weekday
one hundred and forty,coffee,afternoon,Oct,Monday,twelve,weekday
one hundred and forty,cookies,afternoon,Oct,Monday,twelve,weekday
one hundred and forty-one,bread,afternoon,Oct,Monday,twelve,weekday
one hundred and forty-two,tea,afternoon,Oct,Monday,twelve,weekday
one hundred and forty-two,muffin,afternoon,Oct,Monday,twelve,weekday
one hundred and forty-three,tea,afternoon,Oct,Monday,twelve,weekday
one hundred and forty-four,soup,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-four,hearty & seasonal,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-five,coffee,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-five,tea,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-five,focaccia,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-six,sandwich,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-seven,tartine,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-seven,coffee,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-eight,fudge,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-eight,coffee,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-eight,coffee,afternoon,Oct,Monday,thirteen,weekday
one hundred and forty-nine,coffee,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty,bread,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty-one,coke,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty-one,soup,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty-two,muffin,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty-three,tea,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty-three,coffee,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty-three,cookies,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty-three,muffin,afternoon,Oct,Monday,thirteen,weekday
one hundred and fifty-four,mighty protein,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-four,hearty & seasonal,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-four,coffee,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-four,coke,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-five,tea,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-five,muffin,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-five,sandwich,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-six,coffee,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-six,muffin,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-seven,coffee,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-seven,bread,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-eight,coffee,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-eight,muffin,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-nine,bread,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-nine,hot chocolate,afternoon,Oct,Monday,fourteen,weekday
one hundred and fifty-nine,cookies,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty,mineral water,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty,muffin,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-one,tea,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-two,muffin,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-three,coffee,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-three,juice,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-four,coffee,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-four,muffin,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-five,tea,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-six,coffee,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-six,muffin,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-seven,sandwich,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-seven,hearty & seasonal,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-seven,bread,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-seven,mineral water,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-eight,tea,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-eight,coffee,afternoon,Oct,Monday,fourteen,weekday
one hundred and sixty-nine,mineral water,afternoon,Oct,Monday,fifteen,weekday
one hundred and seventy,coffee,afternoon,Oct,Monday,fifteen,weekday
one hundred and seventy-one,soup,afternoon,Oct,Monday,fifteen,weekday
one hundred and seventy-one,tea,afternoon,Oct,Monday,fifteen,weekday
one hundred and seventy-two,bread,evening,Oct,Monday,seventeen,weekday
one hundred and seventy-two,coffee,evening,Oct,Monday,seventeen,weekday
one hundred and seventy-three,bread,evening,Oct,Monday,seventeen,weekday
one hundred and seventy-three,muffin,evening,Oct,Monday,seventeen,weekday
one hundred and seventy-four,coffee,evening,Oct,Monday,seventeen,weekday
one hundred and seventy-five,bread,evening,Oct,Monday,seventeen,weekday
one hundred and seventy-six,cookies,evening,Oct,Monday,eighteen,weekday
one hundred and seventy-six,coffee,evening,Oct,Monday,eighteen,weekday
one hundred and seventy-eight,coffee,morning,Jan,Monday,seven,weekday
one hundred and seventy-eight,pastry,morning,Jan,Monday,seven,weekday
one hundred and seventy-nine,coffee,morning,Jan,Monday,eight,weekday
one hundred and seventy-nine,pastry,morning,Jan,Monday,eight,weekday
one hundred and eighty,jam,morning,Jan,Monday,eight,weekday
one hundred and eighty,tea,morning,Jan,Monday,eight,weekday
one hundred and eighty-one,tea,morning,Jan,Monday,eight,weekday
one hundred and eighty-one,tea,morning,Jan,Monday,eight,weekday
one hundred and eighty-two,pastry,morning,Jan,Monday,nine,weekday
one hundred and eighty-two,pastry,morning,Jan,Monday,nine,weekday
one hundred and eighty-two,ella's kitchen pouches,morning,Jan,Monday,nine,weekday
one hundred and eighty-three,pastry,morning,Jan,Monday,nine,weekday
one hundred and eighty-four,farm house,morning,Jan,Monday,nine,weekday
one hundred and eighty-four,tea,morning,Jan,Monday,nine,weekday
one hundred and eighty-five,tea,morning,Jan,Monday,nine,weekday
one hundred and eighty-five,victorian sponge,morning,Jan,Monday,nine,weekday
one hundred and eighty-six,tea,morning,Jan,Monday,nine,weekday
one hundred and eighty-six,pastry,morning,Jan,Monday,nine,weekday
one hundred and eighty-seven,bread,morning,Jan,Monday,ten,weekday
one hundred and eighty-eight,coffee,morning,Jan,Monday,ten,weekday
one hundred and eighty-nine,bread,morning,Jan,Monday,ten,weekday
one hundred and eighty-nine,coffee,morning,Jan,Monday,ten,weekday
one hundred and ninety,coffee,morning,Jan,Monday,ten,weekday
one hundred and ninety,pastry,morning,Jan,Monday,ten,weekday
one hundred and ninety,pastry,morning,Jan,Monday,ten,weekday
one hundred and ninety-one,soup,morning,Jan,Monday,ten,weekday
one hundred and ninety-one,tea,morning,Jan,Monday,ten,weekday
one hundred and ninety-two,bread,morning,Jan,Monday,ten,weekday
one hundred and ninety-three,coffee,morning,Jan,Monday,eleven,weekday
one hundred and ninety-four,bread,morning,Jan,Monday,eleven,weekday
one hundred and ninety-four,bread,morning,Jan,Monday,eleven,weekday
one hundred and ninety-five,bread,morning,Jan,Monday,eleven,weekday
one hundred and ninety-five,scandinavian,morning,Jan,Monday,eleven,weekday
one hundred and ninety-six,bread,morning,Jan,Monday,eleven,weekday
one hundred and ninety-six,cake,morning,Jan,Monday,eleven,weekday
one hundred and ninety-six,cookies,morning,Jan,Monday,eleven,weekday
one hundred and ninety-seven,coffee,morning,Jan,Monday,eleven,weekday
one hundred and ninety-seven,coffee,morning,Jan,Monday,eleven,weekday
one hundred and ninety-seven,tea,morning,Jan,Monday,eleven,weekday
one hundred and ninety-eight,coffee,morning,Jan,Monday,eleven,weekday
one hundred and ninety-eight,cookies,morning,Jan,Monday,eleven,weekday
one hundred and ninety-nine,coffee,morning,Jan,Monday,eleven,weekday
two hundred,bread,morning,Jan,Monday,eleven,weekday
two hundred and one,coffee,morning,Jan,Monday,eleven,weekday
two hundred and one,pastry,morning,Jan,Monday,eleven,weekday
two hundred and two,coffee,morning,Jan,Monday,eleven,weekday
two hundred and two,coffee,morning,Jan,Monday,eleven,weekday
two hundred and three,coffee,morning,Jan,Monday,eleven,weekday
two hundred and four,scandinavian,morning,Jan,Monday,eleven,weekday
two hundred and four,bread,morning,Jan,Monday,eleven,weekday
two hundred and five,coffee,morning,Jan,Monday,eleven,weekday
two hundred and five,coffee,morning,Jan,Monday,eleven,weekday
two hundred and five,pastry,morning,Jan,Monday,eleven,weekday
two hundred and six,scandinavian,morning,Jan,Monday,eleven,weekday
two hundred and six,coffee,morning,Jan,Monday,eleven,weekday
two hundred and six,pastry,morning,Jan,Monday,eleven,weekday
two hundred and seven,hearty & seasonal,afternoon,Jan,Monday,twelve,weekday
two hundred and seven,coffee,afternoon,Jan,Monday,twelve,weekday
two hundred and seven,muffin,afternoon,Jan,Monday,twelve,weekday
two hundred and eight,bread,afternoon,Jan,Monday,twelve,weekday
two hundred and nine,coffee,afternoon,Jan,Monday,twelve,weekday
two hundred and ten,scandinavian,afternoon,Jan,Monday,twelve,weekday
two hundred and eleven,soup,afternoon,Jan,Monday,twelve,weekday
two hundred and eleven,coffee,afternoon,Jan,Monday,twelve,weekday
two hundred and twelve,coffee,afternoon,Jan,Monday,twelve,weekday
